symbol,fold,param_adx_rising_bars,param_adx_min,param_z_entry_min,param_z_entry_max,param_sl_mult,param_max_hold_bars,oos_n,oos_sharpe,oos_total_pnl,oos_mdd
AAVE/USDC:USDC,0,2,25.0,0.8,3.0,2.0,4,28,13.24,4.8078,0.69
AAVE/USDC:USDC,0,2,25.0,0.8,3.0,2.0,6,21,11.162,3.1828,0.82
AAVE/USDC:USDC,0,2,25.0,0.8,3.0,2.0,8,18,5.156,1.466,0.82
AAVE/USDC:USDC,0,2,25.0,1.0,2.0,1.0,4,18,-12.996,-1.99,0.63
AAVE/USDC:USDC,0,2,25.0,1.0,2.0,1.0,6,17,-11.514,-2.1185,0.76
AAVE/USDC:USDC,0,2,25.0,1.0,2.0,1.0,8,15,-10.216,-1.6478,0.5
AAVE/USDC:USDC,0,2,25.0,1.0,2.0,1.5,4,18,5.668,1.0373,0.5
AAVE/USDC:USDC,0,2,25.0,1.0,2.0,1.5,6,17,10.225,2.5102,0.76
AAVE/USDC:USDC,0,2,25.0,1.0,2.0,1.5,8,15,14.493,3.3082,0.65
AAVE/USDC:USDC,0,2,25.0,1.0,2.0,2.0,4,17,-0.416,-0.0815,0.61
AAVE/USDC:USDC,0,2,25.0,1.0,2.0,2.0,6,16,11.05,2.7024,0.62
AAVE/USDC:USDC,0,2,25.0,1.0,2.0,2.0,8,14,10.383,2.472,0.64
AAVE/USDC:USDC,0,2,25.0,1.0,2.5,1.0,4,23,0.172,0.037,0.79
AAVE/USDC:USDC,0,2,25.0,1.0,2.5,1.0,6,20,6.662,1.6034,0.64
AAVE/USDC:USDC,0,2,25.0,1.0,2.5,1.0,8,17,0.232,0.051,0.8
AAVE/USDC:USDC,0,2,25.0,1.0,2.5,1.5,4,22,19.766,3.892,0.4
AAVE/USDC:USDC,0,2,25.0,1.0,2.5,1.5,6,19,24.165,6.5024,0.65
AAVE/USDC:USDC,0,2,25.0,1.0,2.5,1.5,8,17,20.198,5.246,0.83
AAVE/USDC:USDC,0,2,25.0,1.0,2.5,2.0,4,23,14.802,3.634,0.7
AAVE/USDC:USDC,0,2,25.0,1.0,2.5,2.0,6,19,31.726,8.1569,0.44
AAVE/USDC:USDC,0,2,25.0,1.0,2.5,2.0,8,15,18.767,4.9167,0.78
AAVE/USDC:USDC,0,2,25.0,1.0,3.0,1.0,4,26,-13.697,-3.0342,0.96
AAVE/USDC:USDC,0,2,25.0,1.0,3.0,1.0,6,21,-11.831,-2.8358,0.78
AAVE/USDC:USDC,0,2,25.0,1.0,3.0,1.0,8,19,-25.291,-4.9816,1.16
AAVE/USDC:USDC,0,2,25.0,1.0,3.0,1.5,4,26,24.647,7.0844,0.4
AAVE/USDC:USDC,0,2,25.0,1.0,3.0,1.5,6,20,11.021,3.0725,0.65
AAVE/USDC:USDC,0,2,25.0,1.0,3.0,1.5,8,19,6.173,1.6402,0.92
AAVE/USDC:USDC,0,2,25.0,1.0,3.0,2.0,4,26,14.311,4.7684,0.71
AAVE/USDC:USDC,0,2,25.0,1.0,3.0,2.0,6,20,14.802,4.1469,0.82
AAVE/USDC:USDC,0,2,25.0,1.0,3.0,2.0,8,17,4.586,1.2819,0.82
AAVE/USDC:USDC,0,2,25.0,1.2,2.0,1.0,4,15,-14.782,-1.9707,0.73
AAVE/USDC:USDC,0,2,25.0,1.2,2.0,1.0,6,14,-15.592,-2.3335,0.67
AAVE/USDC:USDC,0,2,25.0,1.2,2.0,1.0,8,11,-22.506,-2.625,0.44
AAVE/USDC:USDC,0,2,25.0,1.2,2.0,1.5,4,15,9.234,1.4522,0.43
AAVE/USDC:USDC,0,2,25.0,1.2,2.0,1.5,6,14,14.444,2.965,0.58
AAVE/USDC:USDC,0,2,25.0,1.2,2.0,1.5,8,11,16.837,3.0009,0.46
